NOAA_AR,T_REC,NOAA_NUM,CLASS,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45
12562,2016.07.12_22:24:00_TAI,1,N,-0.627877844,-0.58495028,-0.644018782,-0.302913312,-0.222163244,-0.649131254,-0.341204556,-0.936534153,0.176337823,-0.671807265
12562,2016.07.12_23:00:00_TAI,1,N,-0.619984674,-0.585432416,-0.639364277,-0.326635383,-0.237779044,-0.647977034,-0.356071363,-0.928891478,-0.266050748,-0.803191496
12562,2016.07.12_23:36:00_TAI,1,N,-0.600507943,-0.5825396,-0.61797647,-0.318642881,-0.306680271,-0.637589047,-0.358404485,-0.925207809,-0.023251439,-0.845333608
12568,2016.07.17_00:12:00_TAI,1,N,-0.789409589,-0.627908598,-0.814074559,-0.533137342,-0.582653219,-0.768593103,-0.912050015,-1.173749761,-0.257134389,-1.279149466
12568,2016.07.17_00:48:00_TAI,1,N,-0.793772629,-0.62834252,-0.816727881,-0.518085229,-0.540454377,-0.771478655,-0.912073738,-1.178981398,-0.245474535,-1.302885391
12568,2016.07.17_01:24:00_TAI,1,N,-0.795074558,-0.629885356,-0.82328,-0.523549301,-0.572008425,-0.777826869,-0.911933208,-1.183511508,-0.190604635,-1.344841581
12568,2016.07.17_02:00:00_TAI,1,N,-0.792744907,-0.629379113,-0.818046195,-0.52293848,-0.552787232,-0.77840398,-0.912400218,-1.178141371,-0.152195705,-1.331827106
12568,2016.07.17_02:36:00_TAI,1,N,-0.792981622,-0.629306792,-0.817776463,-0.525137436,-0.554171977,-0.781866642,-0.906995492,-1.163695573,-0.09458231,-1.302637496
12568,2016.07.17_03:12:00_TAI,1,N,-0.796506605,-0.629162152,-0.822357749,-0.519936202,-0.527598155,-0.780712421,-0.908150719,-1.162377567,-0.152195705,-1.293899205
12568,2016.07.17_03:48:00_TAI,1,N,-0.806056776,-0.631379977,-0.833432351,-0.539793441,-0.57160906,-0.789946187,-0.91171864,-1.182270473,-0.08909532,-1.285718677
12568,2016.07.17_04:24:00_TAI,1,N,-0.80698746,-0.631693366,-0.830978579,-0.52476354,-0.553636714,-0.792254629,-0.910762526,-1.181896547,-0.31200429,-1.228826826
12568,2016.07.17_05:00:00_TAI,1,N,-0.806500799,-0.631910327,-0.835386113,-0.515419828,-0.532660354,-0.797448622,-0.913924489,-1.158193825,-0.052744011,-1.303753022
12568,2016.07.17_05:36:00_TAI,1,N,-0.806916886,-0.632512997,-0.835041644,-0.50924128,-0.521019377,-0.801488395,-0.917776092,-1.145807232,-0.257820263,-1.226409852
12568,2016.07.17_06:12:00_TAI,1,N,-0.808301885,-0.633477269,-0.841755375,-0.517933449,-0.553925161,-0.810145051,-0.915602349,-1.120414954,-0.018450323,-1.212651692
12568,2016.07.17_06:48:00_TAI,1,N,-0.808909844,-0.634248686,-0.841613111,-0.535399231,-0.615961046,-0.814184823,-0.92208309,-1.123047877,-0.128875997,-1.240539854
12568,2016.07.17_07:24:00_TAI,1,N,-0.810088269,-0.634706716,-0.844678051,-0.526581195,-0.588409972,-0.816493265,-0.922206498,-1.121924674,-0.302402057,-1.298113416
12568,2016.07.17_08:00:00_TAI,1,N,-0.815006339,-0.635936162,-0.848003998,-0.53383701,-0.602013779,-0.817647486,-0.92987475,-1.161650858,-0.531483891,-1.309268681
12568,2016.07.17_08:36:00_TAI,1,N,-0.816375164,-0.636056696,-0.849463818,-0.537857323,-0.581768152,-0.815916154,-0.930430857,-1.190249539,-0.124074881,-1.376881981
12568,2016.07.17_09:12:00_TAI,1,N,-0.819961165,-0.636297764,-0.853101228,-0.555452673,-0.593340239,-0.816493265,-0.928127813,-1.201907048,-0.450550788,-1.353270004
12568,2016.07.17_09:48:00_TAI,1,N,-0.822632654,-0.637358464,-0.857690481,-0.549714657,-0.613402886,-0.820533037,-0.922670859,-1.201407925,-0.5678352,-1.443937518
12568,2016.07.17_10:24:00_TAI,1,N,-0.823929436,-0.637262036,-0.859216312,-0.544158036,-0.587841206,-0.821687258,-0.9246288,-1.192733747,-0.523253406,-1.312987103
12568,2016.07.17_11:00:00_TAI,1,N,-0.827434572,-0.637671852,-0.862579817,-0.538012805,-0.599844279,-0.82514992,-0.922002886,-1.182542959,-0.321606522,-1.369693033
12568,2016.07.17_11:36:00_TAI,1,N,-0.827269901,-0.637768279,-0.862541121,-0.53012766,-0.602672152,-0.826881252,-0.927865695,-1.181288858,-0.409398363,-1.257024857
12568,2016.07.17_12:12:00_TAI,1,N,-0.825334284,-0.637575425,-0.858585797,-0.519662258,-0.553088565,-0.828035472,-0.928316365,-1.17513381,-0.439576808,-1.245869592
12568,2016.07.17_12:48:00_TAI,1,N,-0.827863157,-0.638539697,-0.866110624,-0.519884375,-0.569678148,-0.830921024,-0.928759851,-1.172839653,-0.508164183,-1.332446843
12568,2016.07.17_13:24:00_TAI,1,N,-0.828430683,-0.638129881,-0.866999111,-0.531734304,-0.583518363,-0.830343914,-0.929709431,-1.159060697,-0.656312914,-1.3308975
12568,2016.07.17_14:00:00_TAI,1,N,-0.828357904,-0.638202202,-0.866524898,-0.532493203,-0.59103286,-0.830343914,-0.925435632,-1.166630677,-2.148774202,-1.279769203
12568,2016.07.17_14:36:00_TAI,1,N,-0.825335754,-0.637961134,-0.865455071,-0.531430745,-0.605012143,-0.829766804,-0.926015368,-1.154078265,-2.148774202,-1.335235659
12568,2016.07.17_15:12:00_TAI,1,N,-0.826524472,-0.637744172,-0.866581803,-0.525652007,-0.568657382,-0.830343914,-0.925911073,-1.134832483,-0.646710681,-1.363867505
12568,2016.07.17_15:48:00_TAI,1,N,-0.824499168,-0.637527211,-0.864722885,-0.519062543,-0.57217396,-0.828035472,-0.92643513,-1.145482482,-0.593898402,-1.290428678
12568,2016.07.17_16:24:00_TAI,1,N,-0.824594736,-0.63791292,-0.863353734,-0.536635681,-0.585441642,-0.828035472,-0.926963921,-1.174953736,-0.590469034,-1.2609292
12568,2016.07.17_17:00:00_TAI,1,N,-0.825672447,-0.63791292,-0.865610234,-0.532130413,-0.593189474,-0.82514992,-0.926960479,-1.187646787,-0.632307332,-1.373411454
12568,2016.07.17_17:36:00_TAI,1,N,-0.823704484,-0.637864706,-0.862351056,-0.540792967,-0.587534321,-0.82457281,-0.924759589,-1.190321283,-1.12887993,-1.355748951
12568,2016.07.17_18:12:00_TAI,1,N,-0.822440783,-0.637623638,-0.861007703,-0.529524243,-0.583379888,-0.823418589,-0.926714663,-1.186600079,-0.919002562,-1.41679304
12568,2016.07.17_18:48:00_TAI,1,N,-0.821294704,-0.637358464,-0.861560067,-0.517289311,-0.561299895,-0.826304141,-0.920419534,-1.147052781,-2.148774202,-1.452799756
12568,2016.07.17_19:24:00_TAI,1,N,-0.822298167,-0.637623638,-0.865255142,-0.523838053,-0.591902761,-0.830921024,-0.923378046,-1.101985443,-0.620647479,-1.446044624
12568,2016.07.17_20:00:00_TAI,1,N,-0.821237363,-0.637695959,-0.865410684,-0.508545314,-0.550182286,-0.832652355,-0.925599246,-1.088435499,-0.488273844,-1.406009617
12568,2016.07.17_20:36:00_TAI,1,N,-0.819111346,-0.637478998,-0.863091209,-0.50608352,-0.550187242,-0.830343914,-0.924514019,-1.099115906,-1.047260953,-1.341742897
12568,2016.07.17_21:12:00_TAI,1,N,-0.818284316,-0.637768279,-0.857560357,-0.502159457,-0.508552706,-0.830343914,-0.92395235,-1.138816196,-0.803089897,-1.29365131
12568,2016.07.17_21:48:00_TAI,1,N,-0.825176965,-0.639021833,-0.868328807,-0.495814321,-0.522439806,-0.833229466,-0.921453673,-1.168834559,-0.807891013,-1.484344366
12568,2016.07.17_22:24:00_TAI,1,N,-0.828134423,-0.638491483,-0.869111829,-0.518666435,-0.562999851,-0.831498135,-0.92274713,-1.172335542,-0.810634508,-1.369383164
12568,2016.07.17_23:00:00_TAI,1,N,-0.82935181,-0.638491483,-0.870261703,-0.515297664,-0.553604004,-0.833806576,-0.925756343,-1.160064168,-0.613102867,-1.377563692
12568,2016.07.17_23:36:00_TAI,1,N,-0.830872809,-0.638660231,-0.870169896,-0.518385087,-0.566154928,-0.834383687,-0.929181197,-1.175695411,-0.408712489,-1.350915003
12576,2016.08.13_00:12:00_TAI,1,N,-0.416965449,-0.223830411,-0.359525696,-0.444124047,-0.537659115,-0.207641813,-0.368006493,0.032178422,0.043964189,0.130628124
12576,2016.08.13_00:48:00_TAI,1,N,-0.409952974,-0.228651771,-0.350705317,-0.44652661,-0.601996928,-0.213412917,-0.371789424,0.034717032,-0.170714296,0.143394704
12576,2016.08.13_01:24:00_TAI,1,N,-0.422168752,-0.235883811,-0.356547632,-0.446448869,-0.560012291,-0.224955124,-0.364084163,0.03899865,-0.13299124,0.16211076
12576,2016.08.13_02:00:00_TAI,1,N,-0.412458322,-0.235883811,-0.352150721,-0.419395047,-0.515609256,-0.224955124,-0.368149513,0.029953396,-0.330522881,0.147980758
12576,2016.08.13_02:36:00_TAI,1,N,-0.420092724,-0.235883811,-0.361487045,-0.437878864,-0.541673587,-0.230726228,-0.363375249,0.025573189,-0.156310947,0.138498783
12576,2016.08.13_03:12:00_TAI,1,N,-0.4167824,-0.233473131,-0.354783556,-0.410132778,-0.512745599,-0.21918402,-0.363503786,0.003889762,0.166049717,0.08712259
12576,2016.08.13_03:48:00_TAI,1,N,-0.42833582,-0.235883811,-0.365170739,-0.398567898,-0.464752338,-0.224955124,-0.359634258,-0.004152496,0.044650062,0.15473589
12576,2016.08.13_04:24:00_TAI,1,N,-0.436756819,-0.247937211,-0.382306934,-0.411735721,-0.406712984,-0.236497332,-0.35399192,-0.007455349,0.159876853,0.143332731
12576,2016.08.13_05:00:00_TAI,1,N,-0.42614364,-0.247937211,-0.377367521,-0.396476299,-0.447197696,-0.236497332,-0.341809599,0.023911666,-0.31200429,0.17989721
12576,2016.08.13_05:36:00_TAI,1,N,-0.412612701,-0.250347891,-0.361919528,-0.288679329,-0.485915049,-0.259581747,-0.338639781,0.094268416,0.086488361,0.23257485
12576,2016.08.13_06:12:00_TAI,1,N,-0.400822567,-0.257579931,-0.358433107,-0.27749575,-0.440130243,-0.282666162,-0.344213928,0.16268118,0.02956084,0.217081427
12576,2016.08.13_06:48:00_TAI,1,N,-0.425398211,-0.257579931,-0.387819197,-0.361237473,-0.590005551,-0.29420837,-0.341072926,0.256432769,-0.340810987,0.249803537
12576,2016.08.13_07:24:00_TAI,1,N,-0.439865715,-0.257579931,-0.404143538,-0.402888069,-0.569923774,-0.288437266,-0.330725043,0.213819231,-2.148774202,0.208776952
12576,2016.08.13_08:00:00_TAI,1,N,-0.437031025,-0.269633331,-0.391157663,-0.427298702,-0.481412893,-0.282666162,-0.329969739,0.061799104,-2.148774202,0.160809312
12576,2016.08.13_08:36:00_TAI,1,N,-0.448686629,-0.274454692,-0.40396144,-0.499993818,-0.439494866,-0.288437266,-0.332844088,-0.015708327,-0.318863027,0.23021985
12576,2016.08.13_09:12:00_TAI,1,N,-0.461861762,-0.276865372,-0.417011807,-0.468864153,-0.445016995,-0.299979474,-0.336462653,0.047627454,-2.148774202,0.260524986
12576,2016.08.13_09:48:00_TAI,1,N,-0.454139878,-0.272044012,-0.405399256,-0.420472313,-0.405615695,-0.317292785,-0.340504845,0.132886126,-0.528740396,0.306757362
12576,2016.08.13_10:24:00_TAI,1,N,-0.465072842,-0.274454692,-0.431560691,-0.40754882,-0.385357976,-0.343839863,-0.346447404,0.261423754,-2.148774202,0.368111319
12576,2016.08.13_11:00:00_TAI,1,N,-0.451163307,-0.276865372,-0.418586198,-0.364732111,-0.529850224,-0.352496518,-0.345728157,0.285964364,-0.19334813,0.388996453
12576,2016.08.13_11:36:00_TAI,1,N,-0.465864585,-0.279276052,-0.429792822,-0.347466234,-0.487830101,-0.361153174,-0.35062447,0.297309001,-2.148774202,0.402010929
12576,2016.08.13_12:12:00_TAI,1,N,-0.468659577,-0.279276052,-0.433320973,-0.343797605,-0.521416859,-0.362884505,-0.361067925,0.267349315,-0.163169685,0.49546726
12576,2016.08.13_12:48:00_TAI,1,N,-0.477168793,-0.279276052,-0.445529137,-0.37793325,-0.476723395,-0.367501388,-0.352108601,0.289706474,-2.148774202,0.480779494
12576,2016.08.13_13:24:00_TAI,1,N,-0.483468921,-0.276865372,-0.449144544,-0.343686547,-0.432247009,-0.370964051,-0.356902929,0.312757795,-2.148774202,0.498813839
12576,2016.08.13_14:00:00_TAI,1,N,-0.479123523,-0.284097412,-0.444000271,-0.385925752,-0.455142386,-0.373849603,-0.345350468,0.280274466,0.048079431,0.460885938
12576,2016.08.13_14:36:00_TAI,1,N,-0.486869666,-0.284097412,-0.445013192,-0.361666899,-0.505158743,-0.373272492,-0.334010197,0.261903396,-0.039026536,0.424941196
12576,2016.08.13_15:12:00_TAI,1,N,-0.486678531,-0.281686732,-0.432543263,-0.387876678,-0.609677356,-0.380774927,-0.337719657,0.32150942,-0.283883466,0.503957656
12576,2016.08.13_15:48:00_TAI,1,N,-0.475459599,-0.281686732,-0.413377432,-0.331925464,-0.513043959,-0.370964051,-0.335915391,0.268092416,-0.041084157,0.433307645
12576,2016.08.13_16:24:00_TAI,1,N,-0.468666194,-0.276865372,-0.425460403,-0.35942352,-0.448695441,-0.359421843,-0.327694474,0.257112678,-0.947123385,0.439381067
12576,2016.08.13_17:00:00_TAI,1,N,-0.474788418,-0.279276052,-0.420885187,-0.430811849,-0.442948303,-0.343262752,-0.320618695,0.147870008,-2.148774202,0.409881588
12576,2016.08.13_17:36:00_TAI,1,N,-0.490219688,-0.279276052,-0.435536501,-0.48327583,-0.396605436,-0.344416973,-0.322499223,0.117508363,-2.148774202,0.389988033
12576,2016.08.13_18:12:00_TAI,1,N,-0.47616239,-0.281686732,-0.441276387,-0.433355086,-0.397589725,-0.351342298,-0.319800481,0.139578782,-2.148774202,0.410067509
12576,2016.08.13_18:48:00_TAI,1,N,-0.480583506,-0.281686732,-0.449554265,-0.46332234,-0.463033549,-0.35480496,-0.316371704,0.23808403,-0.739303638,0.4176283
12576,2016.08.13_19:24:00_TAI,1,N,-0.478211953,-0.279276052,-0.443196005,-0.401525753,-0.584116172,-0.36980983,-0.323525782,0.340414534,-0.617903984,0.493050286
12576,2016.08.13_20:00:00_TAI,1,N,-0.451204475,-0.281686732,-0.416317558,-0.357442979,-0.507565443,-0.368655609,-0.331705437,0.328503545,-0.977987704,0.43256396
12576,2016.08.13_20:36:00_TAI,1,N,-0.461486107,-0.276865372,-0.414652119,-0.344360301,-0.501918419,-0.361153174,-0.342980986,0.262176832,-0.60075714,0.441983962
12576,2016.08.13_21:12:00_TAI,1,N,-0.481304676,-0.279276052,-0.433643439,-0.356295375,-0.448408976,-0.35538207,-0.347364585,0.199742845,-0.358643705,0.457787254
12576,2016.08.13_21:48:00_TAI,1,N,-0.491279021,-0.286508092,-0.45127661,-0.468845644,-0.552627644,-0.35538207,-0.35003308,0.129700866,0.011728122,0.418000142
12576,2016.08.13_22:24:00_TAI,1,N,-0.488536223,-0.286508092,-0.460829176,-0.455985083,-0.47994092,-0.359421843,-0.356570046,0.1544206,-0.309946668,0.364516844
12576,2016.08.13_23:00:00_TAI,1,N,-0.489530129,-0.284097412,-0.446310642,-0.480769612,-0.525634533,-0.361730285,-0.355927438,0.164161679,-0.427916954,0.351130526
12576,2016.08.13_23:36:00_TAI,1,N,-0.48868031,-0.286508092,-0.449713601,-0.461523194,-0.633486447,-0.371541161,-0.358771614,0.226601368,-0.338753366,0.393148691
12574,2016.08.13_00:12:00_TAI,4,N,-0.067896475,0.120896834,-0.023911208,-0.263317296,-0.276348704,-0.011424283,0.276808015,0.668871866,0.288821119,1.224030005
12574,2016.08.13_00:48:00_TAI,4,N,-0.058556554,0.120896834,-0.031506219,-0.309658258,-0.244697813,-0.017195387,0.268865895,0.714362306,-0.190604635,1.233264086
12574,2016.08.13_01:24:00_TAI,4,N,-0.060726679,0.128128874,-0.005712774,-0.250556688,-0.282596412,-0.022966491,0.26703817,0.718963923,-0.044513526,1.286313568
12574,2016.08.13_02:00:00_TAI,4,N,-0.061614725,0.135360914,-0.017245657,-0.226830915,-0.272072548,-0.034508699,0.272466582,0.780208427,-0.004046974,1.268093302
12574,2016.08.13_02:36:00_TAI,4,N,-0.068983743,0.128128874,-0.020288214,-0.205607658,-0.297510424,-0.040279802,0.277956849,0.748911017,0.20857389,1.307756466
